pattern,num_pattern,model,prompt_strategy,mean_accuracy
star,3,claude-3.5-sonnet,cot,1.0
star,3,claude-3.5-sonnet,zeroshot,1.0
star,3,qwen-2-vl-72b-instruct,cot,0.6
star,3,qwen-2-vl-72b-instruct,zeroshot,0.85
star,3,gemini-pro-1.5,cot,1.0
star,3,gemini-pro-1.5,zeroshot,1.0
star,3,gpt-4o-2024-08-06,cot,1.0
star,3,gpt-4o-2024-08-06,zeroshot,0.95
star,3,pixtral-12b,cot,0.9
star,3,pixtral-12b,zeroshot,0.85
star,3,llama-3.2-90b-vision-instruct,cot,0.55
star,3,llama-3.2-90b-vision-instruct,zeroshot,0.4
star,4,claude-3.5-sonnet,cot,1.0
star,4,claude-3.5-sonnet,zeroshot,1.0
star,4,qwen-2-vl-72b-instruct,cot,0.55
star,4,qwen-2-vl-72b-instruct,zeroshot,0.45
star,4,gemini-pro-1.5,cot,0.9
star,4,gemini-pro-1.5,zeroshot,0.85
star,4,gpt-4o-2024-08-06,cot,0.75
star,4,gpt-4o-2024-08-06,zeroshot,0.85
star,4,pixtral-12b,cot,0.9
star,4,pixtral-12b,zeroshot,0.95
star,4,llama-3.2-90b-vision-instruct,cot,0.55
star,4,llama-3.2-90b-vision-instruct,zeroshot,0.5
star,2,claude-3.5-sonnet,cot,1.0
star,2,claude-3.5-sonnet,zeroshot,1.0
star,2,qwen-2-vl-72b-instruct,cot,0.9
star,2,qwen-2-vl-72b-instruct,zeroshot,0.8
star,2,gemini-pro-1.5,cot,1.0
star,2,gemini-pro-1.5,zeroshot,0.95
star,2,gpt-4o-2024-08-06,cot,1.0
star,2,gpt-4o-2024-08-06,zeroshot,1.0
star,2,pixtral-12b,cot,1.0
star,2,pixtral-12b,zeroshot,0.95
star,2,llama-3.2-90b-vision-instruct,cot,0.4
star,2,llama-3.2-90b-vision-instruct,zeroshot,0.55
chain,3,claude-3.5-sonnet,cot,0.9666666666666667
chain,3,claude-3.5-sonnet,zeroshot,0.9666666666666667
chain,3,qwen-2-vl-72b-instruct,cot,0.8833333333333333
chain,3,qwen-2-vl-72b-instruct,zeroshot,0.8833333333333333
chain,3,gemini-pro-1.5,cot,0.9333333333333333
chain,3,gemini-pro-1.5,zeroshot,0.9333333333333333
chain,3,gpt-4o-2024-08-06,cot,0.95
chain,3,gpt-4o-2024-08-06,zeroshot,0.95
chain,3,pixtral-12b,cot,0.8333333333333334
chain,3,pixtral-12b,zeroshot,0.7833333333333333
chain,3,llama-3.2-90b-vision-instruct,cot,0.6166666666666667
chain,3,llama-3.2-90b-vision-instruct,zeroshot,0.55
chain,4,claude-3.5-sonnet,cot,0.8833333333333333
chain,4,claude-3.5-sonnet,zeroshot,0.8666666666666667
chain,4,qwen-2-vl-72b-instruct,cot,0.75
chain,4,qwen-2-vl-72b-instruct,zeroshot,0.8666666666666667
chain,4,gemini-pro-1.5,cot,0.9
chain,4,gemini-pro-1.5,zeroshot,0.8833333333333333
chain,4,gpt-4o-2024-08-06,cot,0.8333333333333334
chain,4,gpt-4o-2024-08-06,zeroshot,0.7833333333333333
