type_arrow,layout,type_label,type_color,model,prompt_strategy,mean_mae,mean_similarity
directed,spiral,unlabel,random_color,claude-3.5-sonnet,cot,1.1,0.9316787088040958
directed,spiral,unlabel,random_color,claude-3.5-sonnet,zeroshot,1.05,0.935928305612516
directed,spiral,unlabel,random_color,qwen-2-vl-72b-instruct,cot,7.85,0.4970346722421025
directed,spiral,unlabel,random_color,qwen-2-vl-72b-instruct,zeroshot,4.5,0.7468769070626655
directed,spiral,unlabel,random_color,gemini-pro-1.5,cot,1.0,0.9396368193210298
directed,spiral,unlabel,random_color,gemini-pro-1.5,zeroshot,0.9,0.941528976183775
directed,spiral,unlabel,random_color,gpt-4o-2024-08-06,cot,2.3,0.8750198602567023
directed,spiral,unlabel,random_color,gpt-4o-2024-08-06,zeroshot,4.25,0.7668566112250323
directed,spiral,unlabel,random_color,pixtral-12b,cot,2.0,0.8581738057264372
directed,spiral,unlabel,random_color,pixtral-12b,zeroshot,2.05,0.8602200242138324
directed,spiral,unlabel,random_color,llama-3.2-90b-vision-instruct,cot,2.375,0.8851388888888889
directed,spiral,unlabel,random_color,llama-3.2-90b-vision-instruct,zeroshot,3.3,0.7760614548849843
directed,spiral,unlabel,constant_color,claude-3.5-sonnet,cot,0.7,0.9589018964669288
directed,spiral,unlabel,constant_color,claude-3.5-sonnet,zeroshot,0.7,0.9554718484223633
directed,spiral,unlabel,constant_color,qwen-2-vl-72b-instruct,cot,2.9,0.8259619625562216
directed,spiral,unlabel,constant_color,qwen-2-vl-72b-instruct,zeroshot,2.3,0.8576922912473626
directed,spiral,unlabel,constant_color,gemini-pro-1.5,cot,0.9,0.9438902677335678
directed,spiral,unlabel,constant_color,gemini-pro-1.5,zeroshot,0.7,0.9565343780092569
directed,spiral,unlabel,constant_color,gpt-4o-2024-08-06,cot,1.05,0.9305324283223395
directed,spiral,unlabel,constant_color,gpt-4o-2024-08-06,zeroshot,1.85,0.8885690197091464
directed,spiral,unlabel,constant_color,pixtral-12b,cot,1.85,0.8949234950056899
directed,spiral,unlabel,constant_color,pixtral-12b,zeroshot,1.7,0.8934038076833202
directed,spiral,unlabel,constant_color,llama-3.2-90b-vision-instruct,cot,8.0,0.4625
directed,spiral,unlabel,constant_color,llama-3.2-90b-vision-instruct,zeroshot,1.5,0.9204010344342993
directed,spiral,label,random_color,claude-3.5-sonnet,cot,0.9,0.9486528158374135
directed,spiral,label,random_color,claude-3.5-sonnet,zeroshot,1.3,0.9195823030169006
directed,spiral,label,random_color,qwen-2-vl-72b-instruct,cot,0.7,0.962189641498852
directed,spiral,label,random_color,qwen-2-vl-72b-instruct,zeroshot,3.15,0.8323762196266067
directed,spiral,label,random_color,gemini-pro-1.5,cot,1.05,0.9384758604398697
directed,spiral,label,random_color,gemini-pro-1.5,zeroshot,1.2,0.9316576786216879
